title,feedID,editedName,homePageURL,contentText,url,externalURL,datePublished,mustRead,readTitleOnly
"Weekly Roundup 10/07/22 (Gensler’s theatrics, tokenization picks up, MKR buys Treasuries) (EP.358)",https://castleisland.libsyn.com/rss,On The Brink with Castle Island,https://castleisland.libsyn.com/website,,,https://onthebrink-podcast.com/roundup-10-07-22,2022-10-07 10:00:00,0,0
ROLLUP: Kim Kardashian vs Gary Gensler | Credit Suisse Crisis | Celsius Foul Play | ENS NFTs,http://feeds.libsyn.com/247424/rss,Bankless,http://podcast.banklesshq.com/,,,http://sites.libsyn.com/247424/rollup-kim-kardashian-vs-gary-gensler-credit-suisse-crisis-celsius-foul-play-ens-nfts,2022-10-07 08:07:00,0,0
Kristin Smith on Why Crypto Legislation Could Be Passed by Year’s End – Ep. 404,https://unchainedpodcast.com/feed/,Unchained Podcast,https://unchainedpodcast.com/,,,https://unchainedpodcast.com/kristin-smith-on-why-crypto-legislation-could-be-passed-by-years-end-ep-404/,2022-10-07 07:30:00,0,0
